孙燕姿,莫文蔚,郁可唯,张碧晨,邓紫棋,郭静,杨丞琳,王心凌,BY2,梁静茹,森口博子,王赫野,樊竹青,金莎,Goose house,方琼,纸砚zyan,陈洁丽,邓丽君,テレサテン,单依纯,冯心怡,张韶涵,刘若英,何纪光,张靓颖,孙楠,戚薇,任素汐,HITA,尚雯婕,赫赫Kazuki,许嵩,王若琳,光良,罗志祥,胡杨林,陈奕迅,黄霄云,毛不易,李仙姬,蔡琴,董真,南拳妈妈,任然,何洁,黄雅莉,王贰浪,刘惜君,姚贝娜,崔子格,孙俪,范玮琪,徐良,凤凰传奇,乌兰图雅,梅艳芳,叶丽仪,彭佳慧,彭羚,孙露,屠洪刚,黄国俊,李翊君,张惠妹,周杰伦,林俊杰,温岚,林依晨,元若蓝,蔡依林,至上励合,飞轮海,苏打绿,五月天,SHE,蓝又时,曾沛慈,戏曲,龚琳娜,陈力,冯珊珊,毛阿敏,吴静,蒋大为,飞儿乐团,一只榴莲,阿YueYue,A-Lin
天使的指纹,慢慢喜欢你,雪落下的声音,凉凉,面壁者,回忆的阁楼,匿名的好友,Da Da Da,带我离开,三吋日光,星より先に見つけてあける,最后一页,白龙马,相思垢,光るなら,今日天气好晴朗,画皮,好想好想 ,つぐない,つぐない ,想你时风起,故梦,有形的翅膀,很爱很爱你,哪里有不平哪有我,不惜时光,不灭的心 ,如果爱忘了,我要你,赤伶,待我长发及腰,挥不走的萤火,半城烟沙,有你的快乐,第一次,灰色空间,多情种,好久不见,左手指月,像我这样的人,姻缘,张三的歌,笑红尘,下雨天,无人之岛,火烧的寂寞,想你笑,谁,遥远的歌,红颜劫,红颜旧,风吹麦浪,一个像夏天一个像秋天,红妆,月亮之上,套马杆,女人花,上海滩,相见恨晚,囚鸟,情深深雨蒙蒙,风云,真爱你的云,永远永远,哭砂,告白气球,小酒窝,夏天的风,你,心愿便利贴,特务J,繁星,只对你有感觉,小情歌,突然好想你,不想长大,孤单心事,一个人想着一个人,锁麟囊,小河淌水,枉凝眉,葬花吟,相思,女儿情,敢问路在何方,Lydia,海底,云与海,听见下雨的声音
我很愉快,他不爱我,问明月,你给我听好,囚鸟,你的香气,雨爱,第一次爱的人,爱上你,慢冷,,,,爱的魔法,,,,心如刀割,一帘幽梦,,你的珍藏,,梦里花,同桌的你,,画心,美丽的神话,,,风于九天,,,,迷宫,童话,,,红玫瑰,还可以爱吗,,,夜来香,剑起苍澜,橘子汽水,花雨落,逃脱,蝴蝶泉边,像鱼,怎么唱情歌,菩萨蛮,可念不可说,爱如空气,最初的梦想,客官不可以,自由飞翔,,,,,,,,,,别在伤口撒盐,烟花易冷,江南,同手同脚,,半情歌,今天你要嫁给我,棉花糖,,无与伦比的美丽,你不是真正的快乐,一眼万年,,,红娘,,,,,何必西天万里遥,,我们的爱,,,
开始懂了,当你老了,指望,红玫瑰,画,心墙,带我走,彩虹的微笑,不是故意,无条件为你,,,,星月神话,,,,,小城故事,,永不失联的爱,,寓言[蜜意],为爱痴狂,,,,,,天命风流,,,,,,,,,,,,你的眼神,回梦游仙-寻仙,,飞鸟和蝉,把你藏在歌里面,,,菩提偈,,,,到不了,和平分手,最炫民族风,,,,,,,,,,听海,花海,一千年以后,,,99次我爱他,舞娘,,,,温柔,波斯猫,,,女驸马,,,,,,,月半弯,,,
跳舞的梵谷,这世界那么多人,独家记忆,字字句句,你不是第一个离开的人,下一个天亮,左边,我会好好的,勇敢,爱你不是两三天,,,,画中仙,,,,,甜蜜蜜,,,,遗失的美好,后来,,,,,,,,,,,,,,,,,,掐死你的温柔,相思引,,山外小楼夜听雨,请不要对我说sorry,,,,,,,最重要的决定,坏女孩,,,,,,,,,,,,,当你,,,,日不落,,,,,Super Star,,,梨花颂,,,,,,,千年之恋,,,
 我怀念的,,知否知否,,你不是真正的快乐,在树上唱歌,,还是好朋友,任由爱,可惜不是你,,,,梦千年之恋,,,,,在水一方,,,,如果的事,,,,,,,,,,,,,,,,,,,亲密爱人,朱砂泪,,,你一定要幸福,,,,,,,是非题,,,,,,,,,,,,,,,,,,我知道你很难过,,,,,,,,新贵妃醉酒,,,,,,,,,,
遇见,,时间煮雨,,泡沫,,,爱你,有没有,情歌,,,,被风吹过的夏天,,,,,我只在乎你,,,,不想懂得,,,,,,,,,,,,,,,,,,,,金缕衣,,,,,,,,,,如果的事,,,,,,,,,,,,,,,,,,妥协,,,,,,,,,,,,,,,,,,
开始懂了,,滚滚红尘,,,,,月光,不哭了,勇气,,,,天边的眷恋,,,,,月亮代表我的心,,,,亲爱的，那不是爱情,,,,,,,,,,,,,,,,,,,,醉梦仙霖,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
天黑黑,,影子,,,,,匿名的安慰,我知道,会呼吸的痛,,,,,,,,,,,,,隐形的翅膀,,,,,,,,,,,,,,,,,,,,雕花笼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,黄昏晓,爱的双重魔力,情歌,,,,,,,,,,,,,欧若拉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,花的嫁纱,不够成熟,暖暖,,,,,,,,,,,,,破茧,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,当你,有点甜,宁夏,,,,,,,,,,,,,看得最远的地方,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,睫毛弯弯,你并不懂我,小手拉大手,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,那年夏天宁静的海,一样爱着你,崇拜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,飘洋过海来看你,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
